id,type,subtype,price,transactionType,zip,visualisationOption,cuisine_type,constructionYear,condition,heatingType,primaryEnergyConsumptionLevel,room_number,surface,atticExists,basementExists,hasSwimmingPool,indoor,outdoor,short_id,company_name,m2,commune
9001017,apartment,apartment,189000,for sale,2018,xl,not installed,,just renovated,gas,,1,,,true,,,,1749860,,54,Anvers%201
8784393,apartment,flat studio,185000,for sale,1050,xl,installed,2013,good,gas,,0,,,true,,,,2106185,wilink brussels,31,Ixelles
8954533,apartment,apartment,192000,for sale,1500,xl,,1983,,,,2,,,,,,,3660038,berth immo,80,Halle
8841293,apartment,duplex,180000,for sale,7110,xl,,,just renovated,,,0,,,,,,,2478093,immobilière de l’etoile,120,Houdeng-Goegnies
8807152,apartment,apartment,185000,for sale,1420,xl,installed,,good,gas,,2,,,,,,,1791,century 21 immo dewaele,115,Braine-l'Alleud
8929923,apartment,duplex,185000,for sale,8880,xl,usa installed,2003,good,gas,,2,,,,,,,2086309,hyboma,91,Ledegem
8921530,apartment,flat studio,195000,for sale,1180,xl,not installed,1968,to be done up,,,1,,,true,,,1,1110748,oralis real estate,50,Uccle
8836128,apartment,apartment,198000,for sale,8000,xl,,2015,,,,1,,,,,,,3520342,agence coucke,1,Bruges
9015680,apartment,apartment,199000,for sale,1083,xl,installed,,as new,gas,,2,,,true,,,,3467370,harry real estate,85,Ganshoren
9009598,apartment,apartment,195000,for sale,1470,xl,hyper equipped,,as new,gas,,1,,,,,,,3503202,cedimmo genappe,65,Genappe
9009596,apartment,apartment,199000,for sale,1470,xl,hyper equipped,,as new,gas,,1,,,,,,,3502806,cedimmo braine-le-château,65,Genappe
8358684,apartment,apartment,205000,for sale,8930,xl,installed,,,gas,,2,,,,,,,3577076,century 21 modalis,91,Menin
8841108,apartment,apartment,205000,for sale,8480,xl,installed,,,gas,,2,,,,,,,2136198,correct vastgoed,100,Ichtegem
9023365,apartment,apartment,199000,for sale,9032,xl,installed,2020,as new,gas,,1,,,,,,,1989885,immo da vinci,58,Gent%20Wondelgem
8829583,apartment,apartment,218500,for sale,9700,xl,,2019,as new,gas,,1,,,,,,,1548676,immo nobels,74,Audenarde
8920479,apartment,apartment,215000,for sale,1082,xl,hyper equipped,,,gas,,2,,,true,,,,1997457,prestige consultor immobilier,70,Berchem-Sainte-Agathe
8829582,apartment,duplex,218500,for sale,9700,xl,,2019,as new,gas,,1,,,,,,,1548676,immo nobels,74,Audenarde
8715850,apartment,apartment,219000,for sale,6600,xl,,,,,,3,,,true,,,,318779,immo bastogne sa,3,Bastogne
8954637,apartment,apartment,219000,for sale,9260,xl,installed,1997,to be done up,electric,,2,,,,,,1,1558824,de ras immo,106,Wichelen
8873075,apartment,apartment,225000,for sale,9130,xl,installed,2019,,,,2,,,,,1,,2757306,charlotte immo,85,Kieldrecht
8904771,apartment,duplex,225000,for sale,8470,xl,installed,2007,good,electric,,2,,,,,,,646796,vastgoedgroep degroote,99,Gistel
8887865,apartment,apartment,230000,for sale,1500,xl,,2001,,,,2,,,,,,,3660038,berth immo,100,Halle
8921666,apartment,apartment,235000,for sale,1210,xl,,1970,,,,3,,,,,,,3660038,berth immo,93,Sint-Joost-ten-Node
8931691,apartment,apartment,235000,for sale,1500,xl,,,as new,electric,,3,,,true,,,,2174308,vastgoed de vos pajottenland,100,Halle
8906682,apartment,ground floor,239000,for sale,1190,xl,hyper equipped,,good,gas,,3,,,,,,,1997457,prestige consultor immobilier,95,Forest
8996619,apartment,apartment,245000,for sale,1800,xl,installed,1969,,fueloil,,2,,,true,,,2,1612310,century 21 de wand,90,Vilvorde
8932748,apartment,duplex,239000,for sale,8434,xl,hyper equipped,,as new,gas,,2,,,,,,,2921751,immo francois,84,Lombardsijde
8951151,apartment,apartment,240000,for sale,1500,xl,,1919,,,,2,,,,,,,3660038,berth immo,100,Halle
8916818,apartment,service flat,240500,for sale,8000,xl,installed,2018,as new,,,1,,,,,,,1583523,immo isera,54,Bruges
8938057,apartment,apartment,248000,for sale,8000,xl,installed,2009,,gas,,2,,,,,,1,232648,bricx,107,Bruges
8971862,apartment,apartment,250000,for sale,8660,xl,hyper equipped,,as new,gas,,1,,,,,,,1830779,,70,La%20Panne
8915092,apartment,apartment,250000,for sale,1190,xl,,1900,to renovate,gas,,2,29,,true,,,,2289047,immobilière georges,179,Forest
8704605,apartment,apartment,249000,for sale,9230,xl,hyper equipped,2018,as new,gas,,2,,,,,,2,1996595,quality vander cruyssen,2,Wetteren
8814751,apartment,service flat,259000,for sale,9700,xl,,2015,as new,gas,,1,,,,,,,1548676,immo nobels,54,Audenarde
8952330,apartment,duplex,250000,for sale,3520,xl,,2005,good,gas,,2,,,,,,1,3587131,era nobis,116,Zonhoven
9006613,apartment,apartment,255000,for sale,2220,xl,installed,2015,as new,gas,,1,,,,,,,2216813,dupont vastgoed,67,Heist-op-den-Berg
8852462,apartment,apartment,260000,for sale,9120,xl,installed,,just renovated,,,3,,,,,1,,2757306,charlotte immo,105,Beveren-Waas
8585646,apartment,apartment,259000,for sale,9700,xl,,2015,as new,gas,,1,,,,,,,1548676,immo nobels,54,Audenarde
9022045,apartment,apartment,264000,for sale,1080,xl,,,,gas,,2,,,true,,,,2587126,,2,Molenbeek-St-Jean
8391752,apartment,duplex,265000,for sale,1703,xl,,2002,good,gas,,2,,,,,,,3034791,nobiliz,112,Schepdaal
9022819,apartment,ground floor,265000,for sale,1070,xl,hyper equipped,1953,good,,,2,140,,true,,,,692963,,85,Anderlecht
9018507,apartment,apartment,265000,for sale,8620,xl,,2009,good,gas,,2,,,,,,,2397861,portus bvba,55,Nieuport
8774026,apartment,apartment,265000,for sale,2170,xl,,,,,,2,,,,,,,2193780,walbers immo aartselaar,120,Merksem
8951292,apartment,apartment,268000,for sale,2800,xl,,,as new,gas,,2,,,,,,1,1996447,,160,Malines
8774027,apartment,apartment,269000,for sale,2170,xl,,,,,,2,,,,,,,2193780,walbers immo aartselaar,120,Merksem
8814750,apartment,service flat,269000,for sale,9700,xl,,2015,as new,,,1,,,,,,,1548676,immo nobels,66,Audenarde
8067494,apartment,apartment,269000,for sale,9700,xl,,2015,as new,,,1,,,,,,,1548676,immo nobels,66,Audenarde
8432568,apartment,service flat,275000,for sale,9700,xl,,2016,,,,1,,,,,,,1574509,axel lenaerts makelaars oudenaarde bvba,1,Audenarde
8968283,apartment,apartment,275000,for sale,9750,xl,,2008,,gas,,2,,,,,,,652545,hautekeete immo bvba,114,Zingem
8765584,apartment,apartment,270000,for sale,6060,xl,,,,fueloil,,4,,,true,,,,3563305,les maison de marjorie toma,4,Gilly
8901485,apartment,apartment,269000,for sale,9910,xl,installed,2015,as new,,,3,,,,,,1,2193509,immo yves,104,Knesselare
9023372,apartment,apartment,285000,for sale,9032,xl,installed,2020,as new,gas,,2,,,,,,,1989885,immo da vinci,95,Gent%20Wondelgem
8108137,apartment,apartment,279000,for sale,8300,xl,,2002,as new,,,1,,,,,,,290207,alex dewulf - albertstrand,57,Knokke-Heist
8981546,apartment,apartment,285000,for sale,9260,xl,installed,2018,,,,3,,,,,,,3652590,bricks immobiliën,127,Wichelen
8963527,apartment,apartment,287960,for sale,1500,xl,installed,2021,,,,2,,,,,,,2041,multimmo bvba,95,Halle
9016284,apartment,apartment,290000,for sale,9700,xl,,1968,,gas,,3,,,,,1,,1548676,immo nobels,143,Audenarde
9023377,apartment,apartment,289000,for sale,9032,xl,installed,2020,as new,gas,,2,,,,,,,1989885,immo da vinci,88,Gent%20Wondelgem
8056268,apartment,penthouse,290000,for sale,7500,xl,,,as new,gas,,2,,,true,,,1,2708310,jorion desmet immobilier,120,Tournai
8938116,apartment,duplex,289000,for sale,9250,xl,installed,2015,as new,gas,,2,,,,,,1,1255036,huysewinkel waasland,135,Waasmunster
8506548,apartment,apartment,295000,for sale,1785,xl,,2019,,gas,,2,,,,,,,698319,era roel &amp; partners vastgoed,105,Merchtem
7416730,apartment,apartment,300000,for sale,1785,xl,,2019,,gas,,2,,,,,,,698319,era roel &amp; partners vastgoed,112,Merchtem
9023367,apartment,apartment,297000,for sale,9032,xl,installed,2020,as new,gas,,2,,,,,,,1989885,immo da vinci,95,Gent%20Wondelgem
8718186,apartment,loft,299000,for sale,1070,xl,usa hyper equipped,,good,,,2,,,true,,,,1997457,prestige consultor immobilier,110,Anderlecht
8983084,apartment,duplex,305000,for sale,1420,xl,hyper equipped,,as new,gas,,3,,,,,,,1790430,cedimmo braine-l&#039;alleud,107,Braine-l'Alleud
8212748,apartment,apartment,308000,for sale,9200,xl,installed,,,,,2,128,,,,,,1369779,immo twins,91,GREMBERGEN
8878878,apartment,apartment,315000,for sale,1000,xl,hyper equipped,,as new,gas,,1,,,,,,,1739895,,65,Bruxelles%20ville
8884550,apartment,apartment,315000,for sale,8620,xl,,2005,as new,,,2,,,true,,,,393151,groep caenen nieuwpoort-koksijde-oostduinkerke,60,Nieuport
